Name,YearPublished,GameWeight,AvgRating,MinPlayers,MaxPlayers,BestPlayers,MfgPlaytime,MfgAgeRec,category
Blackbeard,1991,3.195,6.35591,1,4,1,240,12,misc
Wooden Ships & Iron Men,1974,3.1193,7.05421,2,2,2,60,12,War
"Wagram: The Peace of Vienna, 5-6 July 1809",1975,2.1538,6.7265,2,2,0,90,12,War
Britannia,1986,3.1676,7.20039,3,5,4,300,12,War
Age of Exploration,1994,3.0625,6.01383,1,6,0,180,14,misc
Junta,1978,2.8699,6.69389,2,7,7,240,16,misc
Advanced Squad Leader,1985,4.7321,8.00152,2,2,2,480,14,War
Circus Maximus,1979,2.6485,6.75117,2,10,8,120,12,misc
Politika,1996,1.6667,4.99641,3,7,0,0,12,misc
Gloria Picktoria,1996,1.4815,6.34728,2,5,0,45,10,Family
Blood Royale,1987,3.3231,6.55809,3,5,0,240,12,Thematic
Lifeboats,1993,1.7862,6.58545,3,6,6,90,12,misc
Colonial Diplomacy,1994,2.8182,6.61759,2,7,0,360,12,misc
The Battle of Borodino: Napoleon in Russia 1812,1972,2.1071,6.71993,2,2,0,180,12,War
Empires in Arms,1983,4.4067,7.61853,2,7,7,12000,14,War
Jena-Auerstadt: The Battle for Prussia,1975,2.1,5.96774,2,2,0,150,12,War
Mississippi Queen,1997,1.6949,6.33296,3,5,5,45,10,Family
Kill Doctor Lucky,1996,1.646,6.15477,3,8,5,45,12,Family
Fluxx,1997,1.3897,5.67195,2,6,4,30,8,misc
Atlantic Storm,1997,2.0526,6.53474,2,6,0,60,10,misc
Starship Troopers: Prepare For Battle!,1997,2.0435,5.78416,2,4,0,60,10,War
Olympia 2000 (v. Chr.),1994,1.3846,6.05007,2,5,0,30,9,Family
Manitou,1997,1.9655,6.10279,2,4,0,45,12,misc
Enemy in Sight,1988,1.6933,6.23252,2,8,0,120,10,War
Intrigue,1994,1.9351,6.36969,3,5,5,45,14,Strategy
Tycoon,1998,2.6456,6.77221,2,4,0,90,10,Strategy
Cheops,1998,2.16,6.15693,2,5,0,45,9,misc
Svea Rike,1996,2.4651,6.39528,2,5,0,120,12,misc
It's Mine!,1998,1.0727,5.91264,3,5,0,30,7,Family
Downtown,1996,2.25,6.32966,3,6,0,60,12,misc
Africa 1880,1997,2.6,5.71241,3,6,0,120,14,misc
Guerilla,1994,2.6316,6.25014,3,6,0,60,10,War
Extinction,1993,1.5,4.95349,2,6,0,60,12,misc
La Guerre de l'Empereur,1997,3.3846,6.45714,2,7,0,240,12,War
Res Publica,1991,1.7024,5.91715,3,5,0,60,10,Strategy
Catan Card Game,1996,2.4478,6.71379,2,2,2,120,10,Strategy
The Very Clever Pipe Game,1996,1.5875,6.21743,2,4,0,20,10,Abstract
Neue Spiele im alten Rom,1994,2.2857,6.78732,2,7,0,60,10,misc
Ostindiska Kompaniet,1991,2.5455,4.71739,2,5,0,120,10,misc
Vikingatid,1997,3.3,6.02343,2,6,0,300,12,War
Advanced Third Reich,1992,4.5328,6.91096,2,6,0,2480,12,War
Lords of the Sierra Madre (Second Edition),1995,3.4545,6.30071,2,8,0,240,14,misc
Monsters Ravage America,1998,2.1905,5.84342,1,4,0,90,10,Thematic
Machiavelli,1977,3.2075,7.0996,4,8,0,480,12,misc
Bazaar,1967,2.0352,6.52211,2,6,0,45,8,misc
Rossyïa 1917,1995,4.0,7.28569,2,5,0,300,0,War
Chariot Lords,1999,2.7857,6.63242,3,4,0,360,12,War
Gold Digger,1990,1.1882,5.73612,2,5,0,20,7,Family
Courtisans of Versailles,1988,1.8182,5.76501,3,8,0,120,8,misc
Attacke,1993,1.4615,5.71611,3,5,0,30,8,Family
Bamboleo,1996,1.2,6.34592,2,7,0,30,6,misc
Keydom,1998,2.6667,6.82895,2,5,0,90,10,misc
Europa 1945-2030,1998,2.6279,5.98024,3,6,0,120,12,Strategy
Medieval Merchant,1998,3.0945,6.72123,2,6,0,90,12,Strategy
Stadens Nyckel,1998,2.3333,5.27017,3,6,0,120,9,misc
Lang lebe der König!,1997,2.0,5.17243,3,5,0,60,10,War
De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,1990,2.8333,7.29474,2,6,0,60,14,War
Tutankhamen,1993,1.5839,6.10717,2,6,0,30,8,Family
Campanile,1996,1.6765,6.16582,2,5,0,30,10,Family
Forum Romanum,1988,2.3824,6.74236,2,6,0,45,10,Abstract
Koalition,1992,2.2941,6.45046,4,10,0,90,12,Strategy
Evergreen,1999,1.9,5.5297,2,6,0,30,12,misc
Der Fliegende Holländer,1992,2.4762,5.98511,3,6,0,60,12,misc
Candidate,1991,2.0,5.61052,2,6,0,90,10,misc
Santa Fe,1992,2.2143,6.96395,2,5,0,70,10,Strategy
Arabana-Ikibiti,1997,1.875,6.20158,2,2,0,20,8,Abstract
Wizard's Quest,1979,2.2622,6.19206,2,6,0,180,12,misc
